uid,date,session_id,session_duration_in_seconds
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-04,1.0,11299.783
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-07,2.0,264281.302
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-12,3.0,436698.145
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-13,4.0,53384.822
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-13,5.0,35237.818
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-13,6.0,2993.421
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,7.0,41328.666999999994
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,8.0,7530.941000000001
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,9.0,14834.560000000001
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,10.0,13843.628
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,11.0,2479.5429999999997
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-16,12.0,135538.19400000002
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-16,13.0,11920.925000000001
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-16,14.0,4385.689
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-17,15.0,91208.556
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-18,16.0,83598.54299999999
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-18,17.0,13042.646
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-18,18.0,5791.444
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,19.0,49001.578
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,20.0,11237.912999999999
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,21.0,6492.53
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,22.0,5410.553
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,23.0,4739.68
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,24.0,5578.503
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,25.0,2490.0829999999996
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-21,26.0,166242.842
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-25,27.0,313852.53
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-25,28.0,31161.623
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-27,29.0,173413.75400000002
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-27,30.0,5967.897999999999
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-29,31.0,178002.123
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-03,32.0,430609.803
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-05,33.0,175003.611
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-07,34.0,158399.147
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-07,35.0,7749.372
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-07,36.0,3354.23
qnoyxSpFl7QfKaTyOGAp9Qkm5lM2,2024-06-07,1.0,991.6
qnoyxSpFl7QfKaTyOGAp9Qkm5lM2,2024-06-07,2.0,7234.123
r4uAkw35sxMJVTxx21DUWW4P5HB3,2024-06-04,1.0,196.873
sJHi3tHqLLOnTwSlvhvLGIKeimD2,2024-06-04,1.0,286.06199999999995
