body,idPrestataire,isRead,title,idTransaction,updatedAt,uid,createdAt
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407127,F5XZWlrnnXUTV73xFvsIIfN3MXk1,1714834407127
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Demande de kamssu,bHAgXoqp5c5HpVoxpeZC1714833555358,1714833568309,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1714833561233
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407109,9jDBR2oDM2W9IDl8v48TBC9nqOr2,1714834407109
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182555,8ROLA3SyVRWuloxR3k7geeAhgtq1,1714834182555
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407190,CmV47awY40RCNqilPCczalq0FSd2,1714834407190
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407132,Ms5hWvGtlOQ1dBwNtASri6JzHmf1,1714834407132
L'équipe Dhoola vous souhaite un excellent week-end!,,True,Bon Week-end ,,1715849106855,SF41IxDyM4RSbTEsLNV1TP7JhdE2,1714834407186
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182502,9jDBR2oDM2W9IDl8v48TBC9nqOr2,1714834182502
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407098,ZQPSxEPJgSPfgLSKYPDMDm32hvN2,1714834407098
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182492,eXmjAdNW1FfOQ8IpHKLd4gqpNGh1,1714834182492
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,mJjdyXjzCSMwSYO6rrTW1716027143611,1719478559536,914umpyeZkY5lglo8KGumeZWF002,1716027576926
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407116,okg5AzCww1aukFXeSck7BYjkQm92,1714834407116
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407169,46eNyoDGCqZ5lM87sOIl9JffaFq2,1714834407169
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182536,g6N8G361ooOZZraV36oEHVaHfRf2,1714834182536
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182561,RpjVPezCVdffSRJr6oklJHkZApF2,1714834182561
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182549,sjiXsT4rOEOfuzGedaORziGdLU93,1714834182549
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407093,PhNla2yiuRWfsVIdLT68ziekaVo2,1714834407093
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Demande de kamssu,83U9ZKlNiXMJsQiM9xCj1709549372795,1709549476985,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709549380185
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407110,hVzaZh25BMObK5Omgh2CL1XwC5T2,1714834407110
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182550,7ImHxlvTNbhrgYsjSrtFzYuL4J52,1714834182550
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407168,KncuxQLZ5sYE4FBvfyRUhaJuBh43,1714834407168
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407163,8Xu97OrrJIWOvWLI5ZsLp7dQnOs2,1714834407163
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407203,6GvPFQqZSNWJQvqkjwlpshYZFKq2,1714834407203
