uid,date,session_id,session_start,session_end,session_duration_in_seconds,visited_pages
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,31.0,2024-05-15 09:17:24.270,2024-05-15 09:21:00.481,216.211,"['userPrestataireDetailPage', 'userHomeScreenPage', 'codePinPage', 'userListePrestatairePage', 'userPanierPage', 'codePinPage', 'userPanierPage', 'userHomePage', 'userHomeScreenPage', 'userHomePage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,32.0,2024-05-15 15:21:33.060,2024-05-15 15:39:30.688,1077.628,"['userHomePage', 'codePinPage', 'userConversationPage', 'userHomeScreenPage', 'userDetailTransactionPage', 'userHomePage', 'userTransactionPage', 'userTransactionPage', 'userConversationPage', 'userConversationPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,33.0,2024-05-15 18:10:50.238,2024-05-15 18:13:32.794,162.556,"['userHomePage', 'userConversationPage', 'codePinPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,34.0,2024-05-16 10:20:11.711,2024-05-16 10:27:14.860,423.149,"['codePinPage', 'userHomeScreenPage', 'codePinPage', 'userHomeScreenPage', 'userHomePage', 'userHomePage', 'userHomeScreenPage', 'userHomePage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,35.0,2024-05-16 14:45:02.062,2024-05-16 15:10:29.869,1527.807,"['userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userTransactionPage', 'userListePrestatairePage', 'userContactPage', 'userListePrestatairePage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,36.0,2024-05-16 16:30:03.787,2024-05-16 16:51:25.372,1281.585,"['codePinPage', 'userHomePage', 'userHomeScreenPage', 'codePinPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,37.0,2024-05-17 06:32:40.182,2024-05-17 06:32:46.551,6.369,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,38.0,2024-05-17 12:06:25.959,2024-05-17 12:07:37.384,71.425,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,39.0,2024-05-17 14:01:38.493,2024-05-17 14:03:02.325,83.832,['codePinPage']
914umpyeZkY5lglo8KGumeZWF002,2024-05-18,40.0,2024-05-18 10:56:31.574,2024-05-18 10:58:52.794,141.22,"['codePinPage', 'userHomeScreenPage', 'userHomePage', 'userHomePage', 'codePinPage', 'userHomePage', 'userHomeScreenPage', 'userHomeScreenPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-19,41.0,2024-05-19 12:39:57.364,2024-05-19 12:41:13.455,76.091,[]
914umpyeZkY5lglo8KGumeZWF002,2024-06-07,42.0,2024-06-07 07:51:21.772,2024-06-07 08:40:39.475,2957.703,"['codePinPage', 'codePinPage', 'codePinPage', 'codePinPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-06-07,43.0,2024-06-07 15:19:12.977,2024-06-07 15:53:23.745,2050.768,"['codePinPage', 'codePinPage']"
9jDBR2oDM2W9IDl8v48TBC9nqOr2,2024-05-23,1.0,2024-05-23 18:10:27.506,2024-05-23 18:10:27.506,0.0,[]
